Source,worth BUSD, worthChange millions USD
Fashion & Retail  ==> luxury goods,3,0
Real Estate  ==> real estate,3,0
Food and Beverage  ==> restaurants,3,0
Technology  ==> software,3,0
Finance and Investments  ==> hedge funds,3,0
"Fashion & Retail  ==> hair products, tequila",3,0
Finance and Investments  ==> investments,3,0
Food and Beverage  ==> beer,3,0
Finance and Investments  ==> finance,3,0
Service  ==> payroll services,3,-4
Construction & Engineering  ==> engineering,3,0
Technology  ==> acoustic components,3,0
Gambling & Casinos  ==> lotteries,3,0
Fashion & Retail  ==> furniture retailing,3,0
Finance and Investments  ==> banking,3,1
Finance and Investments  ==> banking,3,1
"Diversified  ==> banking, shipping",3,0
Finance and Investments  ==> hedge funds,3,0
Automotive  ==> tires,3,0
Energy  ==> energy,3,0
Healthcare  ==> pharmaceuticals,3,0
Manufacturing  ==> prosthetics,3,0
Service  ==> logistics,3,0
Finance and Investments  ==> hedge funds,3,0
Fashion & Retail  ==> luxury goods,3,0
Finance and Investments  ==> private equity,3,0
"Media & Entertainment  ==> TV network, investments",3,2
Finance and Investments  ==> banking,3,0
Fashion & Retail  ==> retail,3,0
"Energy  ==> oil & gas, investments",3,0
Automotive  ==> U-Haul,3,0
Finance and Investments  ==> investments,3,0
Finance and Investments  ==> finance,3,0
Finance and Investments  ==> finance,3,0
Technology  ==> drones,3,0
Technology  ==> eBay,3,-2
"Energy  ==> oil, real estate",3,0
Fashion & Retail  ==> fashion retail,3,0
Healthcare  ==> pharmaceuticals,3,0
Media & Entertainment  ==> online media,3,0
Technology  ==> Twitter,3,0
Real Estate  ==> real estate,3,0
Real Estate  ==> real estate,3,0
Real Estate  ==> real estate,3,0
Real Estate  ==> real estate,3,0
Diversified  ==> pharmacies,3,0
Real Estate  ==> real estate,3,0
Metals & Mining  ==> mining,3,0
Logistics  ==> package delivery,3,0
Gambling & Casinos  ==> gambling,3,0
Food and Beverage  ==> cheese,3,0
Diversified  ==> conglomerate,3,0
Fashion & Retail  ==> retail,3,0
Diversified  ==> airlines,3,0
Diversified  ==> diversified,3,0
Manufacturing  ==> kitchen appliances,3,0
Food and Beverage  ==> Food & Beverage,3,0
"Diversified  ==> construction equipment, media",3,-3
"Real Estate  ==> television, real estate",3,0
Technology  ==> software,3,0
Technology  ==> healthcare services,3,0
Finance and Investments  ==> Investment Management,3,0
Healthcare  ==> pharmaceuticals,3,0
Healthcare  ==> pharmaceuticals,3,0
Sports  ==> New Orleans Saints,3,0
Technology  ==> venture capital,3,0
Energy  ==> oil & gas,3,0
Healthcare  ==> pharmaceuticals,3,0
Finance and Investments  ==> financial services,3,0
Technology  ==> mobile payments,3,0
Manufacturing  ==> lasers,3,0
"Technology  ==> software, investments",3,0
Finance and Investments  ==> Hedge funds,3,0
Logistics  ==> trucking,3,0
Finance and Investments  ==> investments,3,0
"Automotive  ==> automobiles, batteries",3,0
Food and Beverage  ==> tobacco,3,0
Gambling & Casinos  ==> casinos,3,0
Real Estate  ==> real estate,3,0
Healthcare  ==> hospitals,3,0
"Service  ==> hotels, investments",3,0
Diversified  ==> diversified,3,0
"Construction & Engineering  ==> construction, pipes, banking",3,0
Fashion & Retail  ==> online retail,3,0
Food and Beverage  ==> Food & Beverage,3,0
Real Estate  ==> real estate,3,0
Food and Beverage  ==> meat processing,3,0
Real Estate  ==> real estate,3,0
Food and Beverage  ==> AriZona Beverages,3,0
Real Estate  ==> real estate,3,0
Telecom  ==> electronics,3,0
Technology  ==> online payment service,3,0
Food and Beverage  ==> fishing,2,0
Healthcare  ==> pharmaceuticals,2,0
Food and Beverage  ==> beverages,2,0
Technology  ==> electronics,2,0
Diversified  ==> consumer goods,2,0
Fashion & Retail  ==> sports apparel,2,0
"Metals & Mining  ==> copper, education",2,0
Finance and Investments  ==> banking,2,0
Service  ==> employment agency,2,0
Diversified  ==> consumer goods,2,0
Diversified  ==> consumer goods,2,0
Diversified  ==> consumer goods,2,0
Food and Beverage  ==> poultry processing,2,0
Service  ==> consulting,2,0
Healthcare  ==> pharmaceuticals,2,0
Healthcare  ==> pharmaceuticals,2,0
"Finance and Investments  ==> construction, investments",2,0
Real Estate  ==> real estate,2,0
Food and Beverage  ==> bakeries,2,0
Technology  ==> online retail,2,0
Service  ==> travel,2,0
"Finance and Investments  ==> chemicals, investments",2,0
Fashion & Retail  ==> drugstores,2,0
Diversified  ==> consumer goods,2,0
"Finance and Investments  ==> finance, diversified",2,0
Diversified  ==> petrochemicals,2,0
Technology  ==> Facebook,2,0
Technology  ==> business software,2,0
Finance and Investments  ==> hedge funds,2,0
Manufacturing  ==> blinds,2,0
Healthcare  ==> medical equipment,2,0
"Diversified  ==> real estate, construction",2,0
Finance and Investments  ==> finance,2,0
Finance and Investments  ==> electronic trading,2,0
Real Estate  ==> real estate,2,0
Technology  ==> electronics components,2,0
Technology  ==> electronics components,2,0
"Food and Beverage  ==> soft drinks, diversified",2,0
Finance and Investments  ==> private equity,2,0
Finance and Investments  ==> private equity,2,0
Service  ==> staffing & recruiting,2,0
Fashion & Retail  ==> sportswear,2,0
Food and Beverage  ==> Campbell Soup,2,0
Fashion & Retail  ==> Gap,2,0
Fashion & Retail  ==> Gap,2,0
Diversified  ==> conglomerate,2,0
Healthcare  ==> medical products,2,0
Real Estate  ==> real estate,2,0
Finance and Investments  ==> investments,2,0
Healthcare  ==> biotech,2,0
Manufacturing  ==> petrochemicals,2,0
Telecom  ==> telecom,2,0
Diversified  ==> art collection,2,0
Diversified  ==> diversified,2,0
Finance and Investments  ==> investments,2,0
"Finance and Investments  ==> hotels, investments",2,0
Fashion & Retail  ==> Hermes,2,0
Real Estate  ==> real estate,2,0
Finance and Investments  ==> private equity,2,0
"Diversified  ==> online games, investments",2,0
Media & Entertainment  ==> TV broadcasting,2,0
Logistics  ==> shipping,2,0
Finance and Investments  ==> finance,2,0
Food and Beverage  ==> chewing gum,2,0
"Real Estate  ==> real estate, media",2,0
"Construction & Engineering  ==> scaffolding, cement mixers",2,0
Diversified  ==> diversified,2,0
"Diversified  ==> forestry, mining",2,0
"Diversified  ==> hospitals, investments",2,0
"Diversified  ==> art, electronics",2,0
Energy  ==> pipelines,2,0
Real Estate  ==> shopping centers,2,0
Food and Beverage  ==> Campbell Soup,2,0
"Diversified  ==> airports, investments",2,0
Automotive  ==> automobiles,2,0
Manufacturing  ==> manufacturing,2,0
Manufacturing  ==> furniture,2,0
Finance and Investments  ==> auto loans,2,0
Media & Entertainment  ==> Netflix,2,0
Real Estate  ==> real estate,2,0
Sports  ==> Indianapolis Colts,2,0
Technology  ==> online services,2,0
Fashion & Retail  ==> fashion retail,2,0
Diversified  ==> diversified,2,0
Telecom  ==> telecom,2,0
Diversified  ==> diversified,2,0
Technology  ==> web hosting,2,0
"Media & Entertainment  ==> media, real estate",2,0
Service  ==> security services,2,0
"Diversified  ==> casinos, real estate",2,0
Food and Beverage  ==> Starbucks,2,0
Automotive  ==> U-Haul,2,0
Healthcare  ==> dental implants,2,0
Fashion & Retail  ==> fashion investments,2,0
Diversified  ==> diversified,2,0
Finance and Investments  ==> finance,2,0
Fashion & Retail  ==> nutrition and wellness products,2,0
Fashion & Retail  ==> fashion,2,-2
"Real Estate  ==> real estate, plush toys",2,0
Media & Entertainment  ==> TV shows,2,0
Fashion & Retail  ==> Retail,2,0
Real Estate  ==> real estate services,2,0
Finance and Investments  ==> investments,2,0
Diversified  ==> diversified,2,0
Technology  ==> online gaming,2,0
"Media & Entertainment  ==> media, investments",2,0
Finance and Investments  ==> private equity,2,0
"Construction & Engineering  ==> cement, diversified",2,0
Telecom  ==> mobile phones,2,0
Finance and Investments  ==> investments,2,0
Logistics  ==> logistics,2,0
Finance and Investments  ==> investments,2,0
Real Estate  ==> real estate,2,0
Healthcare  ==> pharmaceuticals,2,0
Healthcare  ==> hospitals,2,0
Service  ==> self storage,2,0
Energy  ==> energy generation,2,0
Real Estate  ==> real estate,2,0
Healthcare  ==> pharmaceuticals,2,0
"Diversified  ==> palm oil, property",2,0
Finance and Investments  ==> hedge funds,2,0
Healthcare  ==> laboratory services,2,0
"Metals & Mining  ==> mining, commodities",2,0
Technology  ==> electronics components,2,0
Healthcare  ==> hospitals,2,0
Diversified  ==> diversified,2,0
Technology  ==> Facebook,2,0
Real Estate  ==> real estate,2,0
Finance and Investments  ==> insurance,2,0
Media & Entertainment  ==> Bloomberg LP,2,0
Metals & Mining  ==> steel production,2,0
Real Estate  ==> real estate,2,0
Technology  ==> software,2,0
"Diversified  ==> aluminum, diversified",2,0
Finance and Investments  ==> investment banking,2,0
Service  ==> printing,2,0
Fashion & Retail  ==> shoes,2,0
Energy  ==> oil trading,2,0
"Metals & Mining  ==> mining, banking, hotels",2,0
Fashion & Retail  ==> Lululemon,2,0
Technology  ==> Yahoo,2,118
Technology  ==> touch screens,2,0
Construction & Engineering  ==> construction,2,0
Food and Beverage  ==> Diversified,2,0
"Energy  ==> oil, investments",2,0
"Energy  ==> oil, investments",2,0
Food and Beverage  ==> vodka,2,0
Energy  ==> oil & gas,2,0
Finance and Investments  ==> banking,2,0
"Automotive  ==> art, car dealerships",2,0
Automotive  ==> auto parts,2,0
Manufacturing  ==> auto parts,2,0
Gambling & Casinos  ==> online gambling,2,0
Manufacturing  ==> chemicals,2,0
Finance and Investments  ==> banking,2,0
"Media & Entertainment  ==> circus, live entertainment",2,0
Food and Beverage  ==> spirits,2,0
Finance and Investments  ==> hedge funds,2,0
Finance and Investments  ==> investments,2,0
Fashion & Retail  ==> consumer goods,2,0
Gambling & Casinos  ==> pachinko parlors,2,0
Sports  ==> sports,2,0
Gambling & Casinos  ==> casinos,2,1
Manufacturing  ==> hygiene products,2,0
Diversified  ==> diversified,2,0
Manufacturing  ==> synthetic gloves,2,0
Fashion & Retail  ==> cosmetics,2,0
Fashion & Retail  ==> cosmetics,2,0
Real Estate  ==> real estate,2,0
Fashion & Retail  ==> fashion retailer,2,0
Real Estate  ==> real estate,2,0
Manufacturing  ==> flooring,2,0
Finance and Investments  ==> investment research,2,0
Media & Entertainment  ==> media,2,0
Media & Entertainment  ==> media,2,0
Food and Beverage  ==> investments,2,0
"Metals & Mining  ==> mining, commodities",2,0
"Sports  ==> billboards, Anaheim Angels",2,0
Real Estate  ==> real estate,2,0
Real Estate  ==> WeWork,2,0
Real Estate  ==> real estate,2,0
Real Estate  ==> real estate,2,0
Manufacturing  ==> manufacturing,2,0
Healthcare  ==> pharmaceuticals,2,0
Finance and Investments  ==> hedge funds,2,0
Healthcare  ==> generic drugs,2,0
Finance and Investments  ==> investments,2,0
Service  ==> ticketing service,2,0
Technology  ==> Microsoft,2,0
Finance and Investments  ==> venture capital,2,15
Manufacturing  ==> hygiene products,2,0
Construction & Engineering  ==> construction,2,0
Fashion & Retail  ==> H&M,2,0
"Finance and Investments  ==> Facebook, Palantir",2,0
"Gambling & Casinos  ==> casinos, hotels",2,0
Sports  ==> San Francisco 49ers,2,0
Technology  ==> technology,2,0
Healthcare  ==> pharmaceuticals,2,0
"Real Estate  ==> real estate, investments",2,0
Real Estate  ==> real estate,2,0
Food and Beverage  ==> liquor,2,0
Food and Beverage  ==> Subway sandwich shops,2,0
Finance and Investments  ==> investments,2,0
Real Estate  ==> real estate,2,0
Manufacturing  ==> flavorings,2,0
Fashion & Retail  ==> drugstores,2,0
Food and Beverage  ==> orange juice,2,0
Manufacturing  ==> cement,2,0
Food and Beverage  ==> consumer goods,2,0
Finance and Investments  ==> banking,2,0
Finance and Investments  ==> private equity,2,0
Finance and Investments  ==> banking,2,0
Real Estate  ==> real estate,2,0
Automotive  ==> automobiles,2,0
Finance and Investments  ==> private equity,2,0
Real Estate  ==> real estate,2,0
Real Estate  ==> real estate,2,0
Fashion & Retail  ==> supermarkets,2,0
Finance and Investments  ==> investment,2,0
"Fashion & Retail  ==> tobacco distribution, retail",2,0
Manufacturing  ==> aluminum,2,0
Food and Beverage  ==> retail,2,0
Technology  ==> software,2,0
Finance and Investments  ==> investments,2,0
Media & Entertainment  ==> media,2,0
"Fashion & Retail  ==> Wal-Mart, logistics",2,0
Metals & Mining  ==> mining,2,0
Fashion & Retail  ==> consumer goods,2,0
Fashion & Retail  ==> consumer goods,2,0
Fashion & Retail  ==> consumer goods,2,0
Fashion & Retail  ==> consumer goods,2,0
Fashion & Retail  ==> consumer goods,2,0
Fashion & Retail  ==> consumer goods,2,0
"Service  ==> hotels, investments",2,0
"Finance and Investments  ==> hotels, investments",2,0
Fashion & Retail  ==> retail,2,0
Healthcare  ==> pharmaceuticals,2,0
Diversified  ==> diversified,2,0
Fashion & Retail  ==> consumer goods,2,0
Fashion & Retail  ==> hardware stores,2,0
"Sports  ==> real estate, Los Angeles Chargers",2,0
Healthcare  ==> pharmaceuticals,2,0
Real Estate  ==> real estate,2,0
Automotive  ==> auto repair,2,0
Service  ==> education,2,0
Finance and Investments  ==> private equity,2,0
Fashion & Retail  ==> retail,2,0
Service  ==> education,2,0
Technology  ==> Computer Associates,2,0
Real Estate  ==> real estate,2,0
Healthcare  ==> biotech,2,0
Finance and Investments  ==> finance,2,0
Healthcare  ==> pharmaceuticals,2,0
Logistics  ==> VistaJet,2,0
Healthcare  ==> pharmaceuticals,2,0
Diversified  ==> diversified,2,0
Finance and Investments  ==> investments,2,0
Manufacturing  ==> Detergents,2,0
Fashion & Retail  ==> truck stops,2,0
Healthcare  ==> pharmaceuticals,2,0
Energy  ==> oil,2,0
"Metals & Mining  ==> mining, metals",2,0
Logistics  ==> logistics,2,0
Real Estate  ==> tobacco,2,0
Technology  ==> venture capital,2,0
Finance and Investments  ==> financial services,2,0
Technology  ==> e-commerce,2,0
"Construction & Engineering  ==> construction, real estate",2,0
Finance and Investments  ==> investments,2,0
Finance and Investments  ==> textiles,2,0
"Metals & Mining  ==> mining, metals",2,0
Food and Beverage  ==> pet food,2,0
"Real Estate  ==> real estate, retail",2,0
Finance and Investments  ==> TD Ameritrade,2,0
Fashion & Retail  ==> drugstores,2,0
Diversified  ==> diversified,2,0
Sports  ==> Washington Redskins,2,0
Manufacturing  ==> train cars,2,0
Fashion & Retail  ==> fashion retail,2,0
Food and Beverage  ==> food processing,2,0
Manufacturing  ==> furniture,2,0
Finance and Investments  ==> banking,2,0
"Diversified  ==> petroleum, diversified",2,0
Finance and Investments  ==> money management,2,0
Diversified  ==> Diversified,2,0
Fashion & Retail  ==> Columbia Sportswear,2,0
Food and Beverage  ==> beer,2,0
Real Estate  ==> real estate,2,0
Finance and Investments  ==> hedge fund,2,0
Finance and Investments  ==> finance,2,0
Finance and Investments  ==> private equity,2,0
"Healthcare  ==> hospitals, health care",2,0
Finance and Investments  ==> banking,2,0
"Sports  ==> casinos, mixed martial arts",2,0
"Sports  ==> casinos, mixed martial arts",2,0
"Food and Beverage  ==> Nutella, chocolates",2,0
"Metals & Mining  ==> mining, steel",2,0
Automotive  ==> used cars,2,0
Fashion & Retail  ==> shoes,2,0
Manufacturing  ==> electrical equipment,2,0
Service  ==> cruises,2,0
Service  ==> landscape architecture,2,0
Technology  ==> SAP,2,0
Media & Entertainment  ==> DirecTV,2,0
Diversified  ==> investments,2,0
Diversified  ==> diversified,2,0
Real Estate  ==> real estate,2,0
Diversified  ==> Diversified,2,0
Healthcare  ==> dental products,2,0
Finance and Investments  ==> private equity,2,0
Technology  ==> Groupon,2,0
Finance and Investments  ==> investments,2,0
Technology  ==> optical components,2,0
Real Estate  ==> shopping centers,2,0
Technology  ==> health IT,2,0
Healthcare  ==> drug distribution,2,0
"Finance and Investments  ==> banking, credit cards",2,0
Food and Beverage  ==> beer,2,0
Fashion & Retail  ==> jewelry,2,0
Fashion & Retail  ==> retail,2,0
Real Estate  ==> real estate,2,0
Finance and Investments  ==> banking,2,0
Finance and Investments  ==> finance,2,0
Logistics  ==> shipping,2,0
Media & Entertainment  ==> cable television,2,0
Diversified  ==> diversified,2,0
Real Estate  ==> real estate,2,0
Real Estate  ==> real estate,2,0
Food and Beverage  ==> bakery chain,2,0
Media & Entertainment  ==> entertainment,2,0
Real Estate  ==> real estate,2,0
Fashion & Retail  ==> retail,2,0
Manufacturing  ==> plastics,2,0
Real Estate  ==> Real Estate,2,0
Automotive  ==> automobiles,2,0
Sports  ==> sports team,2,0
"Diversified  ==> forestry, mining",2,0
Food and Beverage  ==> frozen foods,2,0
"Energy  ==> oil, gas",2,0
Finance and Investments  ==> investments,2,0
Food and Beverage  ==> soy sauce,2,0
"Metals & Mining  ==> mining, metals",2,0
Real Estate  ==> hotels,2,0
Fashion & Retail  ==> hair care products,2,0
Media & Entertainment  ==> television,2,0
Real Estate  ==> hotels,2,0
Energy  ==> Getty Oil,2,0
Fashion & Retail  ==> retail stores,2,0
Diversified  ==> diversified,2,0
Finance and Investments  ==> private equity,2,0
Finance and Investments  ==> Investment,2,0
"Real Estate  ==> real estate, investments, logistics",2,0
Real Estate  ==> hotels,2,0
Real Estate  ==> real estate,2,0
Construction & Engineering  ==> construction,2,0
Food and Beverage  ==> soft drinks,2,0
Real Estate  ==> real estate,2,0
Real Estate  ==> real estate,2,0
Food and Beverage  ==> food processing,2,0
Manufacturing  ==> palm oil,2,0
Finance and Investments  ==> accounting services,2,0
Fashion & Retail  ==> drugstores,2,0
Manufacturing  ==> paper & related products,2,0
Healthcare  ==> medical devices,2,0
Food and Beverage  ==> nutrition supplements,2,0
Food and Beverage  ==> drugstores,2,0
Manufacturing  ==> valve manufacturing,2,0
Energy  ==> investments,2,0
Technology  ==> cooking appliances,2,0
Food and Beverage  ==> consumer goods,2,0
Logistics  ==> aircraft leasing,2,0
"Food and Beverage  ==> Dole, real estate",2,0
Technology  ==> software services,2,0
Technology  ==> software,2,0
Real Estate  ==> real estate,2,0
Healthcare  ==> Roche Holding,2,0
Diversified  ==> diversified,2,0
Real Estate  ==> real estate,2,0
Metals & Mining  ==> commodities,2,0
"Manufacturing  ==> manufacturing, investment",2,0
Healthcare  ==> pharmaceuticals,2,0
Finance and Investments  ==> insurance,2,0
"Technology  ==> venture capital, Google",2,0
Fashion & Retail  ==> cosmetics,2,0
Real Estate  ==> real estate,2,0
Real Estate  ==> real estate,2,0
"Finance and Investments  ==> real estate, investments",2,0
Real Estate  ==> real estate,2,0
Manufacturing  ==> furniture,2,0
"Media & Entertainment  ==> TV, movie production",2,0
Technology  ==> business software,2,0
Diversified  ==> conglomerate,2,0
Manufacturing  ==> solar panel materials,2,0
Diversified  ==> diversified,2,0
Food and Beverage  ==> Slim-Fast,2,0
Diversified  ==> pharmaceuticals,2,0
Energy  ==> oil & gas,2,0
Diversified  ==> investments,2,0
"Manufacturing  ==> metals, mining",2,0
Healthcare  ==> medical technology,2,0
Healthcare  ==> medical technology,2,0
Healthcare  ==> medical technology,2,0
"Finance and Investments  ==> supermarkets, investments",2,0
Food and Beverage  ==> consumer goods,2,0
Real Estate  ==> real estate,2,0
"Technology  ==> Netscape, investments",2,0
Energy  ==> coal,2,0
Food and Beverage  ==> Cargill,2,0
Healthcare  ==> pharmaceuticals,2,0
Automotive  ==> auto parts,2,0
Finance and Investments  ==> hedge funds,2,0
Healthcare  ==> pharmaceuticals,2,0
Finance and Investments  ==> insurance,2,0
Food and Beverage  ==> frozen foods,2,0
Finance and Investments  ==> insurance,2,0
Diversified  ==> banking,2,0
Fashion & Retail  ==> consumer goods,2,0
Healthcare  ==> pharmaceuticals,2,0
Automotive  ==> auto distribution,2,0
Healthcare  ==> pharmaceuticals,2,0
Finance and Investments  ==> private equity,2,0
Finance and Investments  ==> hedge funds,2,0
"Service  ==> computer services, tourism",2,0
"Diversified  ==> food products, entertainment",2,0
Construction & Engineering  ==> engineering,2,0
Healthcare  ==> biotech,2,0
Diversified  ==> diversified,2,0
Energy  ==> natural gas distribution,2,0
Sports  ==> Philadelphia Eagles,2,0
Healthcare  ==> pharmaceuticals,2,0
Food and Beverage  ==> Cargill,2,0
Finance and Investments  ==> private equity,2,0
Real Estate  ==> real estate,2,0
Automotive  ==> tractors,2,0
Fashion & Retail  ==> shoes,2,0
"Food and Beverage  ==> agriculture, land",2,0
Real Estate  ==> real estate,2,0
Finance and Investments  ==> private equity,2,0
Construction & Engineering  ==> construction,2,0
Finance and Investments  ==> motorcycle loans,2,0
Finance and Investments  ==> investments,2,0
Automotive  ==> tires,2,0
Diversified  ==> diversified,2,0
Telecom  ==> telecom equipment,2,0
Finance and Investments  ==> finance,2,0
"Manufacturing  ==> steel, autoparts",2,0
Food and Beverage  ==> energy drinks,2,-31
Food and Beverage  ==> energy drinks,2,-18
Finance and Investments  ==> investments,2,0
Food and Beverage  ==> Cargill,2,0
"Real Estate  ==> utilities, real estate",2,0
Fashion & Retail  ==> cosmetics,2,0
Food and Beverage  ==> Cargill,2,0
"Energy  ==> oil & gas, investments",2,0
Manufacturing  ==> hydraulic machinery,2,0
Manufacturing  ==> tires,2,0
Real Estate  ==> real estate,2,0
Healthcare  ==> medical equipment,2,0
Gambling & Casinos  ==> video games,2,0
"Telecom  ==> telecom, investments",2,0
Media & Entertainment  ==> Bloomberg LP,2,0
Healthcare  ==> pharmaceuticals,2,0
Diversified  ==> diversified,1,5
"Diversified  ==> engineering, energy, construction",1,0
Manufacturing  ==> chemicals,1,0
Manufacturing  ==> fasteners,1,0
Fashion & Retail  ==> retail,1,0
Logistics  ==> shipping,1,0
Diversified  ==> diversified,1,0
Healthcare  ==> pharmaceuticals,1,0
Finance and Investments  ==> banking,1,0
Finance and Investments  ==> hedge funds,1,0
Manufacturing  ==> aviation,1,0
Fashion & Retail  ==> fashion retail,1,0
Finance and Investments  ==> investments,1,0
Finance and Investments  ==> investments,1,0
"Real Estate  ==> real estate, education",1,0
Automotive  ==> automotive,1,0
Finance and Investments  ==> banking,1,0
"Manufacturing  ==> vacuums, cleaning products",1,0
Fashion & Retail  ==> fashion retail,1,0
Fashion & Retail  ==> retail,1,0
"Diversified  ==> computer services, tourism",1,0
Metals & Mining  ==> cobalt mining,1,0
Manufacturing  ==> petrochemicals,1,0
Manufacturing  ==> petrochemicals,1,0
Diversified  ==> diversified,1,0
Fashion & Retail  ==> art collection,1,0
"Finance and Investments  ==> metals, banking, fertilizers",1,0
Technology  ==> software services,1,0
Service  ==> education,1,0
Finance and Investments  ==> mutual funds,1,0
"Service  ==> hotels, investments",1,0
Manufacturing  ==> hand tools,1,0
Finance and Investments  ==> investments,1,0
Diversified  ==> processed milk,1,0
Fashion & Retail  ==> sports apparel,1,307
Fashion & Retail  ==> winter jackets,1,0
Real Estate  ==> real estate,1,0
Finance and Investments  ==> investments,1,0
Technology  ==> software,1,0
Manufacturing  ==> petrochemicals,1,0
Fashion & Retail  ==> drugstores,1,0
Metals & Mining  ==> steel smelting,1,0
Technology  ==> Twitter,1,0
Food and Beverage  ==> fish farming,1,0
Fashion & Retail  ==> footwear,1,0
Diversified  ==> fertilizer,1,0
Finance and Investments  ==> investments,1,0
Technology  ==> software,1,0
"Fashion & Retail  ==> retail, investments",1,0
Energy  ==> batteries,1,0
Diversified  ==> valves,1,0
Fashion & Retail  ==> supermarket,1,0
Diversified  ==> investments,1,0
Real Estate  ==> real estate,1,0
"Manufacturing  ==> vacuums, home cleaning products",1,0
Fashion & Retail  ==> real estate,1,0
Real Estate  ==> real estate,1,0
Healthcare  ==> pharmaceuticals,1,0
"Metals & Mining  ==> mining, commodities",1,0
Finance and Investments  ==> investments,1,0
Energy  ==> oil,1,0
Finance and Investments  ==> banking,1,0
Healthcare  ==> medical technology,1,0
Healthcare  ==> medical technology,1,0
Healthcare  ==> medical technology,1,0
Food and Beverage  ==> consumer goods,1,0
Finance and Investments  ==> asset management,1,0
Manufacturing  ==> chemicals,1,0
Manufacturing  ==> paper manufacturing,1,0
"Manufacturing  ==> shipbuilding, industrial machines",1,0
Food and Beverage  ==> fast food,1,0
Manufacturing  ==> electric components,1,0
Manufacturing  ==> shipbuilding,1,0
Fashion & Retail  ==> shoes,1,0
"Diversified  ==> energy, chemicals",1,0
Energy  ==> oil & gas,1,-1
Service  ==> hotels,1,0
Construction & Engineering  ==> construction,1,0
"Sports  ==> Nascar, racing",1,0
Technology  ==> software services,1,0
Finance and Investments  ==> finance,1,0
Finance and Investments  ==> Berkshire Hathaway,1,0
Real Estate  ==> real estate,1,0
Finance and Investments  ==> investments,1,0
Healthcare  ==> healthcare,1,0
Fashion & Retail  ==> Estee Lauder,1,0
Healthcare  ==> pharmaceuticals,1,0
Healthcare  ==> medical devices,1,-2
Technology  ==> software,1,0
Energy  ==> oil & gas,1,0
"Service  ==> hotels, investments",1,0
Media & Entertainment  ==> movie theaters,1,0
Finance and Investments  ==> finance,1,0
Service  ==> Comcast,1,0
Healthcare  ==> pharmaceuticals,1,0
Finance and Investments  ==> finance,1,0
Finance and Investments  ==> investments,1,0
Technology  ==> software,1,0
Service  ==> hotels,1,0
Automotive  ==> auto parts,1,0
Automotive  ==> auto parts,1,0
Manufacturing  ==> metals. coal,1,0
Automotive  ==> automotive,1,0
Food and Beverage  ==> greek yogurt,1,0
Manufacturing  ==> building materials,1,0
Healthcare  ==> pharmaceuticals,1,0
Healthcare  ==> medical devices,1,0
Real Estate  ==> real estate,1,0
Food and Beverage  ==> beverages,1,0
Real Estate  ==> real estate,1,0
Real Estate  ==> real estate,1,0
Finance and Investments  ==> investment banking,1,0
Finance and Investments  ==> security,1,3
"Finance and Investments  ==> banking, development",1,0
Media & Entertainment  ==> TV broadcasting,1,0
Diversified  ==> diversified,1,0
Real Estate  ==> real estate,1,0
Metals & Mining  ==> mining,1,0
Automotive  ==> auto parts,1,0
Healthcare  ==> medical technology,1,0
Fashion & Retail  ==> luxury goods,1,0
Fashion & Retail  ==> luxury goods,1,0
Logistics  ==> package delivery,1,0
Technology  ==> eletronics,1,0
Healthcare  ==> pharmaceuticals,1,0
Food and Beverage  ==> meat processing,1,0
Gambling & Casinos  ==> casinos,1,0
Fashion & Retail  ==> fashion retail,1,0
Fashion & Retail  ==> luxury goods,1,0
Technology  ==> messaging app,1,0
Manufacturing  ==> chemicals,1,0
Service  ==> Gap,1,0
Fashion & Retail  ==> Gap,1,0
Fashion & Retail  ==> luxury goods,1,0
Finance and Investments  ==> insurance,1,0
Technology  ==> information technology,1,0
Real Estate  ==> real estate,1,0
"Diversified  ==> tourism, construction",1,0
Healthcare  ==> pharmaceuticals,1,0
Fashion & Retail  ==> retail,1,0
"Energy  ==> oil & gas, investments",1,0
Real Estate  ==> real estate,1,0
Energy  ==> coal,1,0
Manufacturing  ==> chemicals,1,0
Automotive  ==> auto parts,1,0
Metals & Mining  ==> coal,1,0
Diversified  ==> diversified,1,0
"Energy  ==> oil, investments",1,0
Diversified  ==> manufacturing,1,0
Finance and Investments  ==> hedge funds,1,0
Manufacturing  ==> machine tools,1,0
Manufacturing  ==> machine tools,1,0
Manufacturing  ==> construction equipment,1,0
Real Estate  ==> real estate,1,0
Energy  ==> oil trading,1,0
Manufacturing  ==> paper manufacturing,1,0
Manufacturing  ==> LED lighting,1,0
"Food and Beverage  ==> coffee, shipping",1,0
Automotive  ==> automobiles,1,0
Food and Beverage  ==> consumer goods,1,0
Telecom  ==> telecom,1,0
Real Estate  ==> WeWork,1,0
Sports  ==> wrestling,1,0
Manufacturing  ==> manufacturing,1,0
Healthcare  ==> medical patents,1,0
Energy  ==> oil refinery,1,0
Diversified  ==> diversified,1,0
Logistics  ==> Transportation,1,0
Finance and Investments  ==> Berkshire Hathaway,1,0
Finance and Investments  ==> investment,1,0
Real Estate  ==> real estate,1,0
Diversified  ==> diversified,1,0
Real Estate  ==> real estate,1,0
Manufacturing  ==> sneakers,1,0
Finance and Investments  ==> investments,1,0
Automotive  ==> cars,1,0
Real Estate  ==> real estate,1,0
Technology  ==> financial information,1,0
Diversified  ==> diversified,1,0
Metals & Mining  ==> steel,1,0
