id,name,position
8957,ricardo salinas pliego,226
3565,suh kyung-bae,227
1000,pollyanna chu,228
2999,john fredriksen,229
9664,goh cheng liang,230
4538,sri prakash lohia,231
8520,lu zhiqiang,232
6729,jorn rausing,233
6411,johann rupert,234
5194,jacques saade,235
9392,wu shaoxun,236
1736,leonid fedun,237
2310,kim jung-ju,238
3687,sandra ortega mera,239
9211,jim pattison,240
2477,michael platt,241
4138,chan laiwa,242
2513,david green,243
9346,hank & doug meijer,244
2682,dmitry rybolovlev,245
2938,tsai eng-meng,246
5741,andreas von bechtolsheim,247
7350,oleg deripaska,248
9259,liu yongxing,249
3130,ludwig merckle,250
8146,brian acton,251
3454,john grayken,252
1802,ann walton kroenke,253
5962,augusto & giorgio perfetti,254
7252,finn rausing,255
5301,kirsten rausing,256
3282,odd reitan,257
9681,nassef sawiris,258
6179,wee cho yaw,259
2530,aloys wobben,260
8426,leon black,261
8654,ivan glasenberg,262
5671,john paulson,263
2029,wei jianjun,264
6119,francis choi,265
1051,erivan haub,266
7857,jason jiang,267
9522,suleiman kerimov,268
3492,ian & richard livingstone,269
8733,pang kang,270
4133,david shaw,271
6553,kushal pal singh,272
6841,john a. sobrato,273
8979,acharya balkrishna,274
6898,guenther fielmann,275
2427,daniel gilbert,276
3325,antonia johnson,277
8516,vikram lal,278
7067,akira mori,279
8029,maria-elisabeth schaeffler-thumann,280
6325,albert frere,281
9813,richard kinder,282
7687,robert kraft,283
8880,ralph lauren,284
8912,bruno schroder,285
2792,nusli wadia,286
4970,pierre bellon,287
9118,les wexner,288
7426,benu gopal bangur,289
3834,david cheriton,290
1552,ma jianrong,291
5792,whitney macmillan,292
1919,dan olsson,293
9482,vivek chaand sehgal,294
8985,teh hong piow,295
7126,abdulla bin ahmad al ghurair,296
8907,maria asuncion aramburuzabala,297
1209,ralph dommermuth,298
7407,frank lowy,299
4890,wolfgang marguerre,300
9000,marijke mars,301
7814,pamela mars,302
9826,valerie mars,303
8783,victoria mars,304
5441,david & frederick barclay,305
9920,"john gokongwei, jr.",306
7422,kwon hyuk-bin,307
2218,nancy walton laurie,308
8994,lin yu-ling,309
1369,tom & judy love,310
8349,robert rowling,311
3857,dennis washington,312
6082,yao liangsong,313
9280,zhang jindong,314
8572,juan francisco beckmann vidal,315
1818,david sun,316
4638,john tu,317
5522,martin viessmann,318
7697,stef wertheimer,319
8684,hansjoerg wyss,320
3085,james dyson,321
6638,laurence graff,322
5836,jen-hsun huang,323
3916,charles johnson,324
3838,jerry jones,325
1142,kei hoi pang,326
5210,kwee family,327
9952,lee shin cheng,328
1102,richard lefrak,329
5249,shigenobu nagamori,330
9637,steven rales,331
4689,friede springer,332
5893,yeung kin-man,333
6564,rinat akhmetov,334
2975,shari arison,335
1619,dannine avara,336
1638,rahel blocher,337
9716,andrew currie,338
5732,scott duncan,339
5178,milane frantz,340
4863,diane hendricks,341
9761,magdalena martullo-blocher,342
9156,hiroshi mikitani,343
1632,gabe newell,344
8415,pan sutong,345
8207,anthony pratt,346
7096,john reece,347
4847,randa williams,348
8475,zhang bangxin,349
1427,zhang shiping,350
9557,jean-michel besnier,351
9584,marie besnier beauvalot,352
2984,richard devos,353
7482,michael herz,354
4954,wolfgang herz,355
6706,kjeld kirk kristiansen,356
