id,age,gender,country,image,name,position,Source,worth BUSD, worthChange millions USD
1367,48,None,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5a7cf9434bbe6f2652f510e6/416x416.jpg?background=000000&cropX1=1931&cropX2=3868&cropY1=662&cropY2=2598,wang qunbin,1740,Diversified  ==> conglomerate,1,0
9435,62,Male,None,https://specials-images.forbesimg.com/imageserve/8fc970638be98f55b64ae148840cddad/416x416.jpg?background=000000&cropX1=106&cropX2=726&cropY1=48&cropY2=668,dan wilks,1741,Energy  ==> natural gas,1,0
5859,66,Male,United States,https://specials-images.forbesimg.com/imageserve/5a871699a7ea43169013aedf/416x416.jpg?background=000000&cropX1=74&cropX2=547&cropY1=85&cropY2=559,farris wilks,1742,Energy  ==> natural gas,1,0
8079,68,Male,None,https://specials-images.forbesimg.com/imageserve/57769e7931358e0aa22dc537/416x416.jpg?background=000000&cropX1=90&cropX2=613&cropY1=56&cropY2=580,thomas wu,1743,Finance and Investments  ==> finance,1,0
6788,47,Male,People's Republic of China,https://specials-images.forbesimg.com/imageserve/57769e7931358e0aa22dc537/416x416.jpg?background=000000&cropX1=90&cropX2=613&cropY1=56&cropY2=580,yi zheng,1744,Technology  ==> software,1,0
7878,67,None,None,https://specials-images.forbesimg.com/imageserve/57769e7931358e0aa22dc537/416x416.jpg?background=000000&cropX1=90&cropX2=613&cropY1=56&cropY2=580,yuan fugen,1745,Manufacturing  ==> metal processing,1,0
8360,75,Male,None,https://specials-images.forbesimg.com/imageserve/5a908941a7ea434a0c2720de/416x416.jpg?background=000000&cropX1=817&cropX2=3140&cropY1=1101&cropY2=3423,"richard yuengling, jr.",1746,Food and Beverage  ==> beer,1,0
8707,60,None,None,https://specials-images.forbesimg.com/imageserve/5a80a54fa7ea431690133afd/416x416.jpg?background=000000&cropX1=31&cropX2=790&cropY1=43&cropY2=801,gavril yushvaev,1747,"Finance and Investments  ==> precious metals, real estate",1,0
4167,43,Male,China,https://specials-images.forbesimg.com/imageserve/5a80a54fa7ea431690133afd/416x416.jpg?background=000000&cropX1=31&cropX2=790&cropY1=43&cropY2=801,zeng kaitian,1748,Technology  ==> online games,1,0
3853,68,None,China,https://specials-images.forbesimg.com/imageserve/5a80a54fa7ea431690133afd/416x416.jpg?background=000000&cropX1=31&cropX2=790&cropY1=43&cropY2=801,zhang wanzhen,1749,Manufacturing  ==> electronic components,1,0
2202,53,None,None,https://specials-images.forbesimg.com/imageserve/5a8dfe6a4bbe6f2652f62d58/416x416.jpg?background=000000&cropX1=0&cropX2=720&cropY1=44&cropY2=764,zhang yubai,1750,Food and Beverage  ==> wine,1,0
6554,2020,Male,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5a7d26554bbe6f2652f51297/416x416.jpg?background=000000&cropX1=789&cropX2=3360&cropY1=97&cropY2=2670,changpeng zhao,1751,Finance and Investments  ==> cryptocurrency,1,0
1401,49,Male,China,https://specials-images.forbesimg.com/imageserve/5a7d26554bbe6f2652f51297/416x416.jpg?background=000000&cropX1=789&cropX2=3360&cropY1=97&cropY2=2670,zhou yifeng,1752,Manufacturing  ==> chemicals,1,0
3869,63,Male,China,https://specials-images.forbesimg.com/imageserve/589f2ffda7ea431f321947f2/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=5&cropY2=746,zhou yongli,1753,Manufacturing  ==> conglomerate,1,0
5408,52,Male,China,https://specials-images.forbesimg.com/imageserve/2ab35b49b2ece993fb88ee046c098dea/416x416.jpg?background=000000&cropX1=42&cropX2=744&cropY1=44&cropY2=747,zhu wenchen,1754,Healthcare  ==> pharmaceuticals,1,0
4242,73,Male,None,https://specials-images.forbesimg.com/imageserve/5a8144134bbe6f2652f54724/416x416.jpg?background=000000&cropX1=156&cropX2=1407&cropY1=79&cropY2=1329,ahmet nazif zorlu,1755,Diversified  ==> diversified,1,0
7751,94,None,Australia,https://specials-images.forbesimg.com/imageserve/59f74a37a7ea436b47b48aab/416x416.jpg?background=000000&cropX1=2&cropX2=1173&cropY1=73&cropY2=1245,len ainsworth,1756,Gambling & Casinos  ==> betting machines,1,0
3597,82,Male,None,https://specials-images.forbesimg.com/imageserve/59f74a37a7ea436b47b48aab/416x416.jpg?background=000000&cropX1=2&cropX2=1173&cropY1=73&cropY2=1245,edmund ansin,1757,Media & Entertainment  ==> television,1,0
5968,47,Male,Switzerland,https://specials-images.forbesimg.com/imageserve/58a65e8b4bbe6f0e55870188/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=87&cropY2=828,markus blocher,1758,Manufacturing  ==> chemicals,1,0
4904,67,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80aa4f31358e4955ad2b70/416x416.jpg?background=000000&cropX1=321&cropX2=2425&cropY1=9&cropY2=2111,leonid boguslavsky,1759,Finance and Investments  ==> venture capital,1,0
6975,65,Male,None,https://specials-images.forbesimg.com/imageserve/5a7a2f9c31358e4955acc4c7/416x416.jpg?background=000000&cropX1=886&cropX2=3543&cropY1=11&cropY2=2667,jorge horacio brito,1760,Finance and Investments  ==> banking,1,0
2186,41,Male,None,https://specials-images.forbesimg.com/imageserve/58a0dd82a7ea431f32195ac2/416x416.jpg?background=000000&cropX1=114&cropX2=674&cropY1=50&cropY2=611,saket burman,1761,Food and Beverage  ==> consumer goods,1,0
1761,59,Male,None,https://specials-images.forbesimg.com/imageserve/5a908ff631358e79a28a1f18/416x416.jpg?background=000000&cropX1=26&cropX2=2250&cropY1=77&cropY2=2300,steve case,1762,Technology  ==> AOL,1,0
8802,73,Male,None,https://specials-images.forbesimg.com/imageserve/e727535940097f26824747f5e1551e37/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=2&cropY2=746,jeffrey cheah,1763,Real Estate  ==> property,1,0
1197,82,None,None,https://specials-images.forbesimg.com/imageserve/d304679d94328b2f0da6abd0111eaead/416x416.jpg?background=000000&cropX1=2&cropX2=717&cropY1=63&cropY2=778,bruce cheng,1764,Technology  ==> electronics,1,0
8743,49,Male,None,https://specials-images.forbesimg.com/imageserve/d304679d94328b2f0da6abd0111eaead/416x416.jpg?background=000000&cropX1=2&cropX2=717&cropY1=63&cropY2=778,cheng xianfeng,1765,Healthcare  ==> pharmaceuticals,1,0
4992,50,Male,Slovakia,https://specials-images.forbesimg.com/imageserve/d304679d94328b2f0da6abd0111eaead/416x416.jpg?background=000000&cropX1=2&cropX2=717&cropY1=63&cropY2=778,ivan chrenko,1766,Real Estate  ==> real estate,1,0
5104,83,None,Philippines,https://specials-images.forbesimg.com/imageserve/599b5f4431358e60d77698a8/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,eduardo cojuangco,1767,"Food and Beverage  ==> food, drinks",1,0
1394,64,None,None,https://specials-images.forbesimg.com/imageserve/5a7f84d24bbe6f2652f53304/416x416.jpg?background=000000&cropX1=727&cropX2=3986&cropY1=7&cropY2=3264,brunello cucinelli,1768,Fashion & Retail  ==> fashion,1,0
5917,78,Male,None,https:http://specials-images.forbesimg.com/imageserve/5c6d108aa0562eb2d1cc12c2f9b4a345/416x416.jpg?background=000000&cropX1=203&cropX2=1035&cropY1=0&cropY2=833,darwin deason,1769,Service  ==> Xerox,1,0
3353,52,Male,None,https://specials-images.forbesimg.com/imageserve/5a7f82544bbe6f2652f532d7/416x416.jpg?background=000000&cropX1=0&cropX2=2158&cropY1=13&cropY2=2173,andrea della valle,1770,Fashion & Retail  ==> shoes,1,0
2473,62,Male,None,https://specials-images.forbesimg.com/imageserve/5a8d91b5a7ea43169014023a/416x416.jpg?background=000000&cropX1=743&cropX2=3217&cropY1=194&cropY2=2667,jamie dimon,1771,Finance and Investments  ==> banking,1,0
8368,54,Male,None,https://specials-images.forbesimg.com/imageserve/5a8155e131358e4955ad335a/416x416.jpg?background=000000&cropX1=946&cropX2=4715&cropY1=8&cropY2=3781,charles dunstone,1772,Telecom  ==> mobile phones,1,0
4129,53,None,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba2fa31358e4955ace091/416x416.jpg?background=000000&cropX1=248&cropX2=1918&cropY1=127&cropY2=1798,bruce flatt,1773,Finance and Investments  ==> money management,1,0
7021,60,Male,China,https://specials-images.forbesimg.com/imageserve/c117a242f07351ebadec8a87798f7239/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=89&cropY2=832,fu meicheng,1774,"Media & Entertainment  ==> TV shows, movies",1,0
