id,name,position,Unnamed: 0
8989,diliP SHANGHvi,115.0,166
6331,hasso pLATTNER,116.0,167
3789,STEPHEN SCHwarzman,117.0,168
3946,lEI JUn,118.0,169
7272,hans rAUsing,119.0,170
4894,alisher USMANOv,120.0,171
8706,donALD NEWHOuse,121.0,172
9361,petER Woo,122.0,173
8343,LUIS CARLOS SArmiento,123.0,174
1061,robIN LI,124.0,175
1020,carLOS ALBERTO SIcupira,125.0,176
2862,seo jUNG-JIN,126.0,177
8526,kumAR Birla,127.0,178
6776,alexandER otto,128.0,179
9597,stEFANO PESSina,129.0,180
8655,udo & HARALD TSCHIRA,130.0,181
2429,wang WENYin,131.0,182
4916,anDREW beal,132.0,183
7872,lee MAN Tat,133.0,184
9328,"john MENARd, jr.",134.0,185
8529,xu SHIHUI,135.0,186
9399,zhou HONGYI,136.0,187
6654,goNG HONGjia,137.0,188
2523,michAEL OTTO,138.0,189
3733,davID TEpper,139.0,190
9061,roMAN ABRAMOvich,140.0,191
6733,liu qIANGdong,141.0,192
1849,robert & PHILIP NG,142.0,193
3127,alberto BAILLERES GONZALez,143.0,194
1460,uDAY KOTak,144.0,195
3886,pierre OMIDYAr,145.0,196
4741,walTER P.J. DROEGe,146.0,197
2141,dietmAR HOPP,147.0,198
1415,graEME HART,148.0,199
1840,eduARDO SAVERin,149.0,200
1196,yAN ZHI,150.0,201
4159,radHAKISHAN DAMANI,151.0,202
1927,gerMAN KHAN,152.0,203
1036,ronALD PERELman,153.0,204
4081,gaUTAM ADANI,154.0,205
6039,MICKY ARIson,155.0,206
1948,pan zhENGMin,156.0,207
9216,josEPH TSAI,157.0,208
2626,"thomas fRIST, JR.",158.0,209
7334,mikhAIL PROkhorov,159.0,210
9873,galeN WESTOn,160.0,211
2744,zonG QINGhou,161.0,212
2800,eyAL OFEr,162.0,213
9577,charlES SCHWab,163.0,214
7790,gianluigi & rAFAela aponte,164.0,215
1798,"herbert kOHLER, jr.",165.0,216
8991,vikTOR RASHnikov,166.0,217
5790,harry tRIGUBOFF,167.0,218
3832,augUST VON finck,168.0,219
7167,yao ZHENHua,169.0,220
9766,jan KOUm,170.0,221
3771,cyrUS POONAWalla,171.0,222
9168,jaMES GOODNIGht,172.0,223
7654,kEN GRIFFIN,173.0,224
8878,giORGIO ARmani,174.0,225
8952,ernesto BERTARELLI,175.0,226
3137,savitrI JINDAl,176.0,227
5928,SUNIL MITtal,177.0,228
6619,james CHAMBers,178.0,229
9326,kathaRINE RAYNEr,179.0,230
7957,maRGARETTA TAYLOR,180.0,231
1819,terRY Gou,181.0,232
4195,gordON MOOre,182.0,233
3389,james IRVIng,183.0,234
6379,stanLEY KROENke,184.0,235
4497,melker SCHORLing,185.0,236
8223,jOHANN GRAF,186.0,237
1162,guo guANGCHANG,187.0,238
9561,jOHN MALone,188.0,239
7050,xAVIER NIel,189.0,240
2432,silviO BERLUSConi,190.0,241
4122,carL COOK,191.0,242
4801,daviD GEFFEN,192.0,243
6833,hUI WING mau,193.0,244
5685,wALTER KWok,194.0,245
1960,georgE Soros,195.0,246
3835,"edward johNSON, iii.",196.0,247
9384,massimiliana LANDINI ALeotti,197.0,248
1425,DAVID DUFField,198.0,249
5837,george KAISer,199.0,250
4252,patrick sOON-SHIONg,200.0,251
9052,zhoU QUNFEi,201.0,252
1429,nicky opPENheimer,202.0,253
8356,sun PIAOyang,203.0,254
7047,wu YAJun,204.0,255
9297,alexEI KUZMICHEV,205.0,256
1078,STEPHEN ross,206.0,257
5311,vinCENT BOLLORE,207.0,258
8141,pauline MACMILLAN KEINAth,208.0,259
5538,jay y. lee,209.0,260
5251,anders HOLCH povlsen,210.0,261
5575,eli BROAD,211.0,262
2367,miCHAEL KADoorie,212.0,263
9996,iskandeR MAKhmudov,213.0,264
8768,fredeRIK PAULSEn,214.0,265
8647,sun HONGBIN,215.0,266
8926,christY WAlton,216.0,267
5267,shaHID Khan,217.0,268
6345,ananDA KRISHNan,218.0,269
1365,CARRIE PERRODO,219.0,270
9489,quek leNG chan,220.0,271
7182,waNG WENXUE,221.0,272
1792,john DOErr,222.0,273
2420,patRICK DRAhi,223.0,274
3984,eva gonDA DE RIVEra,224.0,275
5047,willi & ISOLDE LIEBHERR,225.0,276
8957,ricardo SALINAS PLIEGO,226.0,277
3565,suh KYUNG-BAe,227.0,278
1000,pOLLYANNA CHU,228.0,279
2999,john FREDRIKsen,229.0,280
9664,GOH CHENG Liang,230.0,281
4538,sri PRAKASH LOHia,231.0,282
8520,lu zHIQIANG,232.0,283
6729,jorn rAUSINg,233.0,284
6411,JOHANN RUPert,234.0,285
5194,jaCQUES SAade,235.0,286
9392,WU SHAOXUN,236.0,287
1736,leonID FEDun,237.0,288
2310,kIM JUNg-ju,238.0,289
3687,sANDRA ORTEGA MERa,239.0,290
9211,jim PATTISon,240.0,291
2477,michaeL PLAtt,241.0,292
4138,chAN LAIWa,242.0,293
2513,david Green,243.0,294
9346,hank & DOUG MEIjer,244.0,295
2682,dmitrY RYBOlovlev,245.0,296
2938,tsai ENG-MENG,246.0,297
5741,ANDREAS VON BECHTOLSHEim,247.0,298
7350,olEG DERIPASka,248.0,299
9259,lIU YONGXING,249.0,300
3130,ludwig MERckle,250.0,301
8146,brIAN ACTON,251.0,302
3454,joHN GRAYKEN,252.0,303
1802,ann waLTON kroenke,253.0,304
5962,augusto & GIORGIO PERFETTi,254.0,305
7252,fINN RAUSING,255.0,306
5301,kirsTEN RAUsing,256.0,307
3282,odd REITan,257.0,308
9681,nASSEF SAWIris,258.0,309
6179,wee cHO yaw,259.0,310
2530,ALOYS WOBBEn,260.0,311
8426,LEON BLack,261.0,312
8654,ivan GLASENBERg,262.0,313
5671,JOHN PAULSon,263.0,314
2029,wei JIANjun,264.0,315
6119,fRANCIS CHoi,265.0,316
1051,eRIVAN Haub,266.0,317
7857,JASON Jiang,267.0,318
9522,suleimAN Kerimov,268.0,319
3492,IAN & RICHARD livingstone,269.0,320
8733,paNG KANG,270.0,321
4133,daviD SHaw,271.0,322
6553,kushAL PAL SINGH,272.0,323
6841,john a. SOBRATo,273.0,324
8979,acharyA BALKrishna,274.0,325
6898,guentHER FIELMANn,275.0,326
2427,daNIEL GIlbert,276.0,327
3325,antoNIA JOHNson,277.0,328
8516,viKRAM lal,278.0,329
7067,AKIRA Mori,279.0,330
8029,maria-elisabeth SCHAEFfler-thumann,280.0,331
6325,albert FRERE,281.0,332
9813,ricHARD KInder,282.0,333
7687,robert KRAft,283.0,334
8880,rALPH LAUren,284.0,335
8912,brUNO SCHroder,285.0,336
2792,nusLI WADia,286.0,337
4970,pierre BEllon,287.0,338
9118,les WEXNER,288.0,339
7426,benU GOPAL BANGUr,289.0,340
3834,david CHERITON,290.0,341
1552,ma JIANRONg,291.0,342
5792,whitney MACMILLAN,292.0,343
1919,DAN OLSson,293.0,344
9482,vivek CHAAND Sehgal,294.0,345
8985,TEH HONG PIOw,295.0,346
7126,abdulla biN AHMAD AL GHURAIR,296.0,347
8907,maRIA ASUNCION ARAMBURUZABala,297.0,348
1209,ralph DOMMERMUth,298.0,349
7407,FRANK LOWY,299.0,350
4890,wolFGANG MArguerre,300.0,351
9000,marijkE MARS,301.0,352
7814,pAMELA mars,302.0,353
9826,valERIE mars,303.0,354
8783,viCTORIA MARS,304.0,355
5441,davID & FREDERIck barclay,305.0,356
9920,"joHN GOKONGWEI, jr.",306.0,357
7422,kWON HYUK-bin,307.0,358
2218,nanCY WALTON laurie,308.0,359
8994,lIN YU-ling,309.0,360
1369,TOM & JUDY Love,310.0,361
8349,roBERT ROWLING,311.0,362
3857,DENNIS WAShington,312.0,363
6082,yao LIANGSOng,313.0,364
9280,zHANG JINDong,314.0,365
8572,juan franciscO BECkmann vidal,315.0,366
1818,dAVID SUn,316.0,367
4638,jOHN Tu,317.0,368
5522,martin VIESSmann,318.0,369
7697,sTEF WERTHEIMEr,319.0,370
8684,haNSJOERG WYSS,320.0,371
3085,jamES DYSon,321.0,372
6638,laureNCE Graff,322.0,373
5836,jeN-HSUN HUANG,323.0,374
3916,CHARLES JOHNson,324.0,375
3838,jerRY JONES,325.0,376
1142,kei hOI PANg,326.0,377
5210,kwEE FAMILY,327.0,378
9952,leE SHIN CHEng,328.0,379
1102,richarD LEFRak,329.0,380
