id,lastName,age,Unnamed: 0,gender,country,image
4656,bEZOS,54 years old,52,M,None,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097
1874,gATES,62 years old,53,None,United States,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360
6703,bufFETT,87 years old,54,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322
2637,arnAULt,69 years old,55,None,None,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736
8242,zUCKERBERG,1985,56,M,None,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044
9133,oRTEGA,82 years old,57,M,None,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019
3663,slim HELu,78 years old,58,M,Mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990
5909,koCH,82 years old,59,Male,USA,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797
9549,KOCH,78 years old,60,Male,None,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481
2989,eLLISON,73 years old,61,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198
6660,bloOMBerg,76 years old,62,Male,None,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
3915,PAGE,45 years old,63,Male,None,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950
9455,bRIN,44 years old,64,M,None,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695
3819,WALTON,70 years old,65,None,None,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441
6275,wALTON,73 years old,66,M,None,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791
5873,wALTON,68 years old,67,None,None,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143
2101,MA,46 years old,68,M,None,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832
3059,bettENCOURT Meyers,64 years old,69,F,None,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849
9144,amBANI,61 years old,70,M,India,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223
1251,mA,53 years old,71,Male,None,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389
8666,ADELSON,84 years old,72,None,None,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362
3229,baLLMer,62 years old,73,M,None,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617
6437,lI,90 years old,74,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661
9005,HUI,59 years old,75,None,People's Republic of China,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756
7716,lEE,90 years old,76,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082
6371,WANG,63 years old,77,M,None,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280
7747,albreCHT jr.,66 years old,78,,None,https://specials-images.forbesimg.com/imageserve/5a7e087531358e4955ad0cfe/416x416.jpg?background=000000&cropX1=19&cropX2=2172&cropY1=186&cropY2=2340
4351,knIGHT,80 years old,79,M,None,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972
3423,LEMANN,78 years old,80,Male,None,https://specials-images.forbesimg.com/imageserve/5a7b803c4bbe6f2652f4ef67/416x416.jpg?background=000000&cropX1=794&cropX2=3457&cropY1=6&cropY2=2667
6166,pinAUlt,81 years old,81,M,None,https://specials-images.forbesimg.com/imageserve/5a7def27a7ea431690131b94/416x416.jpg?background=000000&cropX1=12&cropX2=2668&cropY1=208&cropY2=2866
4928,scHAEFFLER,53 years old,82,None,Germany,https://specials-images.forbesimg.com/imageserve/5a7e12b631358e4955ad0fb2/416x416.jpg?background=000000&cropX1=835&cropX2=3880&cropY1=0&cropY2=3042
4737,klaTTEN,56 years old,83,F,None,https://specials-images.forbesimg.com/imageserve/5a7e45f64bbe6f2652f5295a/416x416.jpg?background=000000&cropX1=10&cropX2=1120&cropY1=126&cropY2=1236
6590,tHOMSOn,61 years old,84,M,None,https://specials-images.forbesimg.com/imageserve/5a7ba72aa7ea43169012f1b4/416x416.jpg?background=000000&cropX1=566&cropX2=3532&cropY1=6&cropY2=2972
8384,maRS,78 years old,85,F,United States,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
3403,mARS,82 years old,86,M,None,https://specials-images.forbesimg.com/imageserve/59d50d06a7ea436b47b36d84/416x416.jpg?background=000000&cropX1=154&cropX2=1649&cropY1=394&cropY2=1889
9205,sAFRA,79 years old,87,M,Brazil,https:http://specials-images.forbesimg.com/imageserve/5722763231358e1869e2bbc0/416x416.jpg?background=000000&cropX1=161&cropX2=647&cropY1=16&cropY2=502
